epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1086.26,1.3125,2.60894,1.97475,0.26628,0.47991,0.38139,0.24822,1.36319,2.1761,2.15562,0.005743,0.005743,0.005743
45,1111.94,1.26282,2.56141,1.92806,0.33803,0.53121,0.44217,0.31687,1.10386,1.94595,1.94941,0.005644,0.005644,0.005644
46,1138.16,1.28379,2.5295,1.94649,0.25369,0.57279,0.39983,0.27469,1.26125,2.02312,2.09414,0.005545,0.005545,0.005545
47,1163.18,1.27515,2.57405,1.91635,0.24922,0.45245,0.37609,0.25096,1.37458,2.2023,2.21825,0.005446,0.005446,0.005446
48,1188.38,1.24786,2.51286,1.91867,0.27852,0.55853,0.46627,0.32557,1.15454,1.98911,1.94859,0.005347,0.005347,0.005347
49,1213.61,1.23022,2.47721,1.89673,0.32178,0.57548,0.40084,0.29834,1.01247,2.06508,1.84522,0.005248,0.005248,0.005248
50,1239.36,1.22596,2.47657,1.88212,0.43697,0.35335,0.35397,0.22793,1.45983,2.1574,2.28057,0.005149,0.005149,0.005149
51,1264.73,1.21639,2.41254,1.88056,0.40507,0.47549,0.43823,0.29711,1.33072,1.95092,2.1138,0.00505,0.00505,0.00505
52,1290.32,1.20547,2.37527,1.86013,0.35487,0.58214,0.49812,0.3549,1.07297,1.77744,1.85941,0.004951,0.004951,0.004951
53,1316.46,1.18169,2.37245,1.84832,0.27506,0.56045,0.4668,0.32665,1.25626,1.91143,2.0466,0.004852,0.004852,0.004852
54,1342.9,1.17487,2.34923,1.8386,0.33661,0.4429,0.38814,0.23826,1.39583,2.13477,2.15475,0.004753,0.004753,0.004753
55,1368.58,1.1796,2.3171,1.82819,0.3748,0.5666,0.52106,0.37491,1.20977,1.77664,1.98592,0.004654,0.004654,0.004654
56,1394.23,1.17933,2.3726,1.83616,0.39791,0.59675,0.53997,0.39173,1.09232,1.77342,1.88876,0.004555,0.004555,0.004555
57,1420.01,1.16094,2.28398,1.81509,0.50962,0.44713,0.53674,0.35846,1.30456,1.77914,2.0978,0.004456,0.004456,0.004456
58,1445.16,1.15314,2.28205,1.80705,0.46446,0.52548,0.54589,0.37922,1.21796,1.76115,2.04239,0.004357,0.004357,0.004357
59,1470.64,1.15631,2.23568,1.82316,0.39454,0.60927,0.56188,0.42579,1.10507,1.6607,1.91059,0.004258,0.004258,0.004258
60,1496.38,1.142,2.25205,1.80745,0.38081,0.54692,0.5248,0.37838,1.10145,1.7043,1.87752,0.004159,0.004159,0.004159
61,1521.17,1.13445,2.2406,1.81009,0.57072,0.49505,0.59992,0.44004,1.14353,1.62382,1.9386,0.00406,0.00406,0.00406
62,1546.67,1.10465,2.22076,1.77708,0.41912,0.57854,0.55711,0.40904,1.066,1.61986,1.85985,0.003961,0.003961,0.003961
63,1571.83,1.12247,2.17818,1.7727,0.46173,0.61466,0.58623,0.40286,1.31005,1.71382,2.09588,0.003862,0.003862,0.003862
64,1596.82,1.09961,2.14247,1.75653,0.47342,0.5955,0.57895,0.41758,1.08732,1.58711,1.89193,0.003763,0.003763,0.003763
65,1621.38,1.11067,2.16015,1.76761,0.39143,0.56055,0.50655,0.33777,1.28622,1.70405,2.08824,0.003664,0.003664,0.003664
66,1647.52,1.08271,2.13179,1.74346,0.40569,0.54125,0.54027,0.37238,1.30611,1.80016,2.11029,0.003565,0.003565,0.003565
67,1673.97,1.0952,2.10591,1.75252,0.44873,0.67071,0.62508,0.44022,1.23443,1.60257,2.03732,0.003466,0.003466,0.003466
68,1699.56,1.05776,2.11441,1.72322,0.48004,0.64147,0.62973,0.47883,1.02769,1.47202,1.78954,0.003367,0.003367,0.003367
69,1724.83,1.07128,2.07965,1.73003,0.47644,0.60594,0.64029,0.4804,1.06234,1.46811,1.85808,0.003268,0.003268,0.003268
70,1750.79,1.04249,2.05355,1.71593,0.55101,0.6303,0.6623,0.51317,0.92992,1.45376,1.72548,0.003169,0.003169,0.003169
71,1775.87,1.07433,2.08001,1.73468,0.45198,0.59494,0.63324,0.4903,1.03922,1.43615,1.85305,0.00307,0.00307,0.00307
72,1801.67,1.07955,2.04581,1.73044,0.55801,0.66257,0.66735,0.46068,1.26443,1.46882,2.07911,0.002971,0.002971,0.002971
73,1827.2,1.03873,2.05535,1.69891,0.53985,0.60824,0.60805,0.45732,1.13418,1.46694,1.93134,0.002872,0.002872,0.002872
74,1853.74,1.04185,2.0128,1.70741,0.60221,0.62625,0.67095,0.50878,1.02869,1.48368,1.80946,0.002773,0.002773,0.002773
